,Epoch,Loss,Accuracy,Precision,Recall,F1
0,1,0.5255591314108599,0.8571428571428571,0.8631687675070028,0.8571428571428571,0.8539973486002271
1,2,0.28848416313883807,0.8125,0.8568977591036414,0.8125,0.8072523232849029
2,3,0.3407755254043473,0.8303571428571429,0.8523567275747508,0.8303571428571429,0.8276744936927308
3,4,0.2717822004287016,0.9285714285714286,0.9297959183673469,0.9285714285714286,0.9279076316530555
4,5,0.2604030149116639,0.9196428571428571,0.9273268398268398,0.9196428571428571,0.9212565693830331
5,6,0.20938190587219738,0.7321428571428571,0.7896108058608059,0.7321428571428571,0.6728001556346628
6,7,0.21731639017779675,0.8839285714285714,0.8952976190476191,0.8839285714285714,0.8821068637245109
7,8,0.1656101228935378,0.9196428571428571,0.920399366643209,0.9196428571428571,0.9183299938580202
8,9,0.23366159045447907,0.8482142857142857,0.8839664444781093,0.8482142857142857,0.8501164596273292
9,10,0.16331989681791692,0.9017857142857143,0.9095210664911125,0.9017857142857143,0.9014970780299792
